Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
1652,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,26,1998,19.5,61.5,68.8,89.4,1040.6,361.8,26.8,28.4,94.2,30.8,33.1,93,3.28,5.95,55.2,0.05,0.06,0.07,-0.01,0.46,4.67,0.92,0.1,6,Matches
1653,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,28,1996,3.9,57.9,65.4,88.6,1125.9,453.6,20,21.3,94,31,33.8,91.7,6.67,9.23,72.2,0,0,0.03,0,0.26,3.85,0,0,3.59,Matches
1654,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,21,2002,2.9,41,44.8,91.5,826.6,186.6,11.7,11.7,100,23.1,25.9,89.3,5.86,6.55,89.5,0,0.03,0,-0.03,0.34,3.45,0,0,1.72,Matches
1655,Toni Martínez,es ESP,FW,Alavés,es La Liga,27,1997,11.2,12.5,21.4,58.3,149.6,25,8.57,11.8,72.7,2.86,5.98,47.8,0.27,0.89,30,0,0.05,0.08,-0.05,0.98,0.98,0.36,0.09,0.98,Matches
1656,Kevin Martins,it ITA,"MF,DF",Monza,it Serie A,19,2005,2,19,28,67.9,316.5,69.5,9,12,75,9,11.5,78.3,1,2.5,40,0.5,0.2,0.1,0.3,1,3,0.5,0.5,3,Matches
1657,Javi Martón,es ESP,"FW,MF",Athletic Club,es La Liga,25,1999,0.6,10,11.7,85.7,113.3,3.33,6.67,8.33,80,3.33,3.33,100,0,0,,0,0,0,0,0,1.67,0,0,0,Matches
1658,Adam Marušić,me MNE,DF,Lazio,it Serie A,31,1992,26,40.5,47.7,84.9,623.6,198.3,21.4,23.2,92.2,15.9,18.4,86.4,2.15,4.19,51.4,0,0.02,0.02,-0.02,0.5,2.77,0.62,0.35,3.23,Matches
1659,Marvin,es ESP,"DF,FW",Las Palmas,es La Liga,24,2000,11.5,32.2,43.7,73.7,542,166.8,15.8,18.1,87.5,12.8,16.7,76.6,2.7,5.39,50,0,0.1,0.1,-0.1,0.52,2.09,1.22,0.87,2.61,Matches
1660,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,31,1993,22.1,36.6,43.6,84,644.4,178.1,16.7,18.4,91.1,15.3,17.1,89.7,3.67,6.02,60.9,0,0.01,0.01,-0.01,0.14,3.26,0.14,0,3.39,Matches
1661,Adam Masina,ma MAR,DF,Torino,it Serie A,30,1994,21.3,50,59.5,84.1,937.7,331.2,18.4,20.1,91.6,26.2,29.6,88.7,4.98,8.69,57.3,0.09,0.01,0.03,0.08,0.19,3.38,0.28,0.09,3.43,Matches
1662,Patrizio Masini,it ITA,MF,Genoa,it Serie A,23,2001,17.1,29.2,38,76.9,462.9,102.1,13.8,16.6,83.1,11.8,14,84.1,2.34,4.15,56.3,0,0.01,0.02,-0.01,0.35,1.7,0.23,0.18,2.57,Matches
1663,Giorgos Masouras,gr GRE,"FW,MF",Bochum,de Bundesliga,30,1994,11.7,17.1,24.3,70.4,234.2,58.8,11.5,14.3,80.8,4.36,5.98,72.9,0.85,1.71,50,0.09,0.09,0.09,-0.01,0.85,0.94,0.6,0.34,1.62,Matches
1664,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,25,1998,10.1,34.6,41.8,82.7,737.1,292.9,8.61,9.7,88.8,21.1,23.8,88.8,4.85,7.52,64.5,0.1,0.09,0.05,0.01,0.3,2.77,0,0,3.47,Matches
1665,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,23,2001,11.6,32.3,38.2,84.7,500.7,128.2,16.1,18.4,87.4,13.2,14.5,91.1,1.72,3.02,57.1,0,0.03,0.05,-0.03,0.26,1.98,0.26,0.17,2.41,Matches
1666,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,31,1992,26.3,55.1,62.2,88.5,903.4,309.4,25.8,26.8,96,26,28.1,92.6,2.51,5.7,44,0.15,0.05,0.08,0.1,0.42,3.27,0.53,0.27,3.35,Matches
1667,Jaime Mata,es ESP,"FW,MF",Las Palmas,es La Liga,35,1988,7.3,17.4,25.6,67.9,248.9,38.6,10.4,13.8,75.2,5.07,7.12,71.2,0.96,1.78,53.8,0,0.01,0.04,-0.01,0.41,1.1,0.41,0.14,1.37,Matches
1668,Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21,2003,3.5,16.3,21.4,76,239.1,59.7,9.43,11.4,82.5,5.43,6.86,79.2,0.86,1.14,75,0,0,0.03,0,0.29,2.29,0.29,0,1.71,Matches
1669,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21,2002,21.3,41.7,48.3,86.4,638.8,145.9,21.6,23.8,90.7,16.2,18.1,89.9,2.16,2.96,73,0.09,0.08,0.04,0.02,0.7,3.99,0.56,0.09,4.13,Matches
1670,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,22,2002,0.8,43.8,51.3,85.4,666.3,210,20,25,80,20,20,100,1.25,1.25,100,0,0.13,0,-0.13,1.25,1.25,0,0,8.75,Matches
1671,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27,1997,29.4,9.9,15.2,65.1,131.2,34.9,5.95,7.86,75.8,2.86,4.46,64.1,0.24,0.78,30.4,0.07,0.11,0.08,-0.04,0.99,1.19,0.54,0.07,1.8,Matches
1672,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,35,1988,22.3,55.2,63.5,86.9,938.6,285,25.8,28.5,90.6,23.5,25.6,92.1,4.44,6.32,70.2,0.04,0.06,0.09,-0.01,0.76,7.35,0.72,0.04,6.73,Matches
1673,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,16,2008,0.7,31.4,34.3,91.7,485.7,92.9,14.3,15.7,90.9,17.1,17.1,100,0,0,,0,0,0,0,0,0,0,0,2.86,Matches
1674,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22,2002,28.3,40.2,46.8,86,712.1,234,15.9,18,88.8,21.2,22.9,92.7,2.54,4.31,59,0.04,0.01,0.02,0.02,0.18,3.36,0.25,0,2.97,Matches
1675,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,19,2005,10.2,25.5,34.3,74.3,362,113.2,13.6,16.3,83.7,8.43,10.9,77.5,1.47,2.94,50,0.29,0.17,0.23,0.13,1.76,1.47,1.08,0.39,2.75,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1676,Alan Matturro,uy URU,DF,Genoa,it Serie A,19,2004,10,28,35.9,78,563.7,180.6,7.2,8.9,80.9,18.1,20.5,88.3,2.5,5,50,0,0.02,0.03,-0.02,0.3,1,0.4,0.2,1.5,Matches
1677,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26,1998,23.1,42.2,48.4,87.1,703.3,209.1,20.6,23.5,87.8,17.6,19.4,91.1,3.38,3.81,88.6,0.13,0.08,0.07,0.05,0.74,4.72,0.78,0.04,5.8,Matches
1678,Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,27,1996,11.6,21.6,25.6,84.2,293.4,56.1,12.8,14.6,87.6,5.95,6.98,85.2,1.21,1.38,87.5,0.34,0.19,0.11,0.16,1.12,1.29,1.03,0,3.19,Matches
1679,Maurides,br BRA,FW,St. Pauli,de Bundesliga,30,1994,0,1,2,50,12,0,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
1680,Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26,1998,17.9,25.7,34.2,75,345.9,79.8,16,17.5,91.1,6.93,10.3,67.4,1.01,2.4,41.9,0.06,0.15,0.18,-0.09,1.23,1.79,1.45,0.39,3.18,Matches
1681,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26,1997,22.7,48.1,55.7,86.3,949.3,320.6,15,16.4,91.4,28.3,30.5,92.8,4.49,7.75,58,0,0.02,0.02,-0.02,0.22,2.82,0.18,0.04,2.69,Matches
1682,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19,2005,16.7,49.5,56.6,87.5,804.2,262.2,23.5,25.3,93.1,23.7,26.2,90.4,1.86,3.29,56.4,0,0,0.01,0,0.06,3.05,0,0,2.63,Matches
1683,Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,2004,2.8,17.1,31.4,54.5,227.5,68.9,11.1,16.8,66,5.36,8.93,60,0,0.71,0,0.71,0.71,0.29,0,3.57,1.43,1.79,0.71,3.21,Matches
1684,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27,1997,12.4,15.9,20.5,77.6,231.9,37,9.11,10.7,85,4.6,5.65,81.4,1.05,1.37,76.5,0.08,0.07,0.02,0.01,0.65,0.89,0.16,0,1.05,Matches
1685,Senny Mayulu,fr FRA,MF,Paris S-G,fr Ligue 1,18,2006,9,44.9,51.1,87.8,696.4,116.1,23.7,26,91,16.4,17.8,92.5,2.78,3.22,86.2,0.22,0.23,0.22,-0.01,1.33,3.56,1.56,0.11,5.11,Matches
1686,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,26,1997,31.5,48.4,56.5,85.7,732,255.7,26.5,29,91.3,18.2,20.4,89.1,2.32,4.13,56.2,0.03,0.05,0.06,-0.02,0.63,3.97,0.63,0.16,3.65,Matches
1687,Andrea Mazza,it ITA,GK,Monza,it Serie A,20,2004,0.1,60,70,85.7,1340,940,40,40,100,10,10,100,10,20,50,0,0,0,0,0,0,0,0,0,Matches
1688,Luca Mazzitelli,it ITA,MF,Como,it Serie A,28,1995,3.7,42.2,53.2,79.2,748.6,247.8,19.7,21.6,91.3,16.2,20.3,80,5.14,7.84,65.5,0.27,0.16,0.16,0.11,1.62,5.68,1.08,0,7.3,Matches
1689,Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,it Serie A,29,1995,7.8,31.3,39,80.3,485.4,129.7,16.3,17.6,92.7,12.9,16,80.8,1.41,3.33,42.3,0,0.05,0.08,-0.05,0.64,0.77,1.03,0.38,2.95,Matches
1690,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20,2004,7.9,29.1,34.1,85.5,382,74.6,19.2,21.4,89.9,7.85,9.49,82.7,0.89,1.27,70,0.38,0.18,0.1,0.2,1.9,1.9,1.27,0.51,2.15,Matches
1691,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17,2006,2.5,42,55.6,75.5,700.8,191.2,21.6,26.8,80.6,13.2,16,82.5,5.2,8,65,0,0.6,0.48,-0.6,2.4,3.2,2,1.2,3.2,Matches
1692,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25,1998,32.3,29.4,35.4,82.9,421.7,73.7,17.8,20.2,88.2,7.74,9.04,85.6,1.92,2.41,79.5,0.09,0.24,0.2,-0.15,1.58,2.32,1.61,0.09,4.33,Matches
1693,Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16,2008,3.8,33.7,38.9,86.5,461.3,68.2,19.7,21.8,90.4,12.1,13.9,86.8,0.79,1.05,75,0.26,0.29,0.08,-0.03,0.79,1.58,0.79,0,2.37,Matches
1694,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24,1999,37.9,23,34.8,66.1,366.8,114.1,12.6,15.9,79.1,8.26,11.6,71,1.79,4.83,37.2,0.18,0.22,0.25,-0.03,1.85,1.66,1.56,0.5,3.72,Matches
1695,James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,21,2002,3.9,25.6,32.1,80,382.3,65.1,14.6,16.7,87.7,10.3,11.5,88.9,0.77,2.31,33.3,0,0.13,0.21,-0.13,0.77,1.79,0.51,0,1.79,Matches
1696,Kasey McAteer,ie IRL,FW,Leicester City,eng Premier League,22,2001,9.5,19.3,26.5,72.6,269.1,64.5,12.4,14.7,84.3,5.68,7.58,75,0.63,1.26,50,0.11,0.07,0.06,0.03,0.95,1.37,0.63,0.21,1.47,Matches
1697,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28,1996,20.4,13.5,20.5,65.9,166.2,38.2,9.07,12.4,73.1,3.09,5.2,59.4,0.29,0.44,66.7,0.29,0.14,0.05,0.16,1.18,1.13,0.34,0.05,1.32,Matches
1698,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34,1989,5,23.4,31.2,75,564.6,397,8.2,8.6,95.3,9,9.8,91.8,6,12.2,49.2,0,0,0,0,0,1,0,0,0,Matches
1699,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,29,1994,24.7,28.3,34.6,81.9,478,131.3,13.6,14.9,91.6,11.5,13.4,85.8,2.59,4.49,57.7,0.16,0.14,0.11,0.02,1.26,2.83,1.17,0.32,4.17,Matches
1700,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,27,1996,27.4,46.6,53.7,86.7,863,287.4,16.1,17.5,92.1,26.8,29.2,91.8,3.1,5.77,53.8,0,0.03,0.01,-0.03,0.15,1.82,0.04,0,1.64,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1701,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,25,1998,25.7,36.1,43.5,83.1,548.6,146.6,20.8,23.4,88.9,11.8,13.8,85.6,2.33,3.58,65.2,0.16,0.14,0.14,0.02,1.25,2.72,0.86,0.08,3.93,Matches
1702,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,25,1999,27.7,42.1,49,86.1,761.9,293.7,16.7,18.3,91.3,22,24.5,89.7,3,5.16,58,0.04,0.02,0.01,0.02,0.14,3.65,0,0,3.5,Matches
1703,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24,1999,15.2,30.3,40.7,74.5,559.3,183.6,14.1,16.2,87.4,10.9,13.2,82.5,4.61,8.95,51.5,0.39,0.34,0.28,0.05,2.43,2.63,2.37,0.66,4.54,Matches
1704,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27,1996,0.2,50,50,100,930,495,25,25,100,15,15,100,10,10,100,0,0,0,0,0,10,0,0,5,Matches
1705,Scott McTominay,sct SCO,MF,Napoli,it Serie A,27,1996,32.6,23.8,28.3,84.1,387.3,89.9,11.8,13.3,88.7,9.17,10.5,87.2,1.9,2.64,72.1,0.12,0.08,0.05,0.04,0.8,2.21,0.67,0.03,3.44,Matches
1706,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,25,1998,17.8,37.5,42.9,87.4,771.2,252.9,10.2,11.2,91,22.1,24.5,90.4,5,6.63,75.4,0,0.01,0.03,-0.01,0.17,1.74,0.22,0.06,1.52,Matches
1707,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,25,1999,28.3,58.5,66.7,87.6,954.5,351.9,29.2,30.8,94.7,24.2,26.3,91.9,4.1,7.39,55.5,0.04,0.07,0.12,-0.04,0.85,5.55,1.06,0.07,6.15,Matches
1708,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34,1989,2,46.5,60,77.5,875.5,344,17,19,89.5,25.5,30,85,4,10,40,0,0,0,0,0,5,0,0,5.5,Matches
1709,Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,18,2006,0.1,30,30,100,280,70,30,30,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
1710,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,20,2003,0.7,15.7,20,78.6,134.3,45.7,12.9,12.9,100,0,1.43,0,0,0,,0,0.43,0,-0.43,2.86,1.43,0,0,1.43,Matches
1711,Bamo Meïté,ci CIV,DF,Montpellier,fr Ligue 1,22,2001,4.7,32.6,36.8,88.4,525.7,167,15.3,16.2,94.7,15.1,16.4,92.2,1.49,2.77,53.8,0,0,0,0,0,0.85,0,0,1.49,Matches
1712,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,22,2001,0.3,86.7,93.3,92.9,1110,403.3,60,63.3,94.7,23.3,23.3,100,0,0,,0,0,0,0,0,6.67,0,0,0,Matches
1713,Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,16,2007,6,10.3,15.7,66,130.2,30.7,6,8.5,70.6,2,3.5,57.1,0.83,1,83.3,0,0.1,0.07,-0.1,0.83,0.5,0.5,0,1,Matches
1714,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21,2003,0.1,0,10,0,0,0,0,10,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
1715,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27,1997,21,17.7,25.3,69.9,267.2,84.7,10.4,12,86.2,4.9,7.19,68.2,1.57,3.9,40.2,0.14,0.15,0.14,0,1.19,0.86,0.67,0.1,2.05,Matches
1716,Filippo Melegoni,it ITA,"MF,FW",Genoa,it Serie A,25,1999,1,9,16,56.3,197,105,2,2,100,6,8,75,1,2,50,1,0.5,0.2,0.5,1,1,1,0,1,Matches
1717,Arthur Melo,br BRA,MF,Girona,es La Liga,27,1996,10.5,63.6,68.9,92.4,1155.4,242.4,24.4,25.7,94.8,32.5,34.4,94.5,5.81,7.05,82.4,0,0.02,0.06,-0.02,0.48,6.67,0.38,0.1,6.67,Matches
1718,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22,2002,18.6,69.5,80,86.9,1219.5,336.3,30.9,33.7,91.7,31.8,35.6,89.3,5.86,7.96,73.6,0.16,0.27,0.22,-0.11,1.61,6.4,1.83,0.7,6.83,Matches
1719,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27,1997,17,37.1,47.6,77.9,563.1,160.3,21,23.9,87.9,11.8,14.8,80.1,2.71,5.47,49.5,0.12,0.12,0.14,0,1.35,4,0.76,0.18,5.35,Matches
1720,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,20,2004,9.2,42.8,52.8,81.1,735.2,226.1,17.8,19.5,91.6,21.4,24.9,86,3.15,6.74,46.8,0,0.01,0.03,-0.01,0.22,3.15,0.76,0.33,3.8,Matches
1721,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,29,1995,11.2,56.3,59.9,93.9,811.7,217.1,34.6,35.6,97,17.8,18.9,93.9,2.86,3.39,84.2,0.09,0.04,0.06,0.04,0.27,3.93,0.09,0,3.21,Matches
1722,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32,1992,6.5,40,44.6,89.7,628.5,165.5,21.8,22.9,95.3,13.4,14.9,89.7,3.23,4.15,77.8,0.15,0.02,0.03,0.14,0.15,5.23,0.31,0.15,4.31,Matches
1723,Nobel Mendy,fr FRA,DF,Betis,es La Liga,19,2004,1.2,38.3,44.2,86.8,901.7,370,10.8,10.8,100,20.8,22.5,92.6,6.67,10.8,61.5,0,0,0,0,0,4.17,0,0,2.5,Matches
1724,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,26,1998,25.3,41.7,52.2,79.9,682.9,263,22.3,24.3,91.7,14.6,18.1,80.4,3.72,6.84,54.3,0.04,0.1,0.07,-0.06,0.87,2.69,1.03,0.55,3.68,Matches
1725,Alex Meret,it ITA,GK,Napoli,it Serie A,27,1997,33.4,31.4,36.6,85.9,804.3,486.1,4.16,4.16,100,19.4,19.7,98.5,7.84,12.7,61.8,0,0,0,0,0,0.15,0,0,0.03,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1726,Mikel Merino,es ESP,"MF,FW",Arsenal,eng Premier League,28,1996,17.6,25.6,32.8,78.2,351.3,100.9,16.2,18.6,86.9,7.27,9.38,77.6,0.97,1.76,54.8,0.11,0.11,0.07,0,0.97,2.27,1.36,0.23,3.92,Matches
1727,Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,22,2002,17.7,53.3,64.7,82.4,886.7,187.9,25.1,28.1,89.5,23.6,27.6,85.5,3.39,5.93,57.1,0.17,0.17,0.14,0,1.41,3.22,1.53,0.51,4.86,Matches
1728,Víctor Meseguer,es ESP,MF,Valladolid,es La Liga,25,1999,4.6,32.2,41.1,78.3,491.7,152.8,16.5,19.3,85.4,12.4,15.4,80.3,1.3,2.39,54.5,0,0,0.07,0,0.22,3.7,0.22,0.22,4.78,Matches
1729,Rafik Messali,fr FRA,DF,Toulouse,fr Ligue 1,21,2003,5.1,32.5,44.5,73.1,540.4,174.5,15.9,18.6,85.3,12.7,17.5,73,2.55,4.51,56.5,0.2,0.2,0.2,0,2.16,2.94,1.57,0.59,4.12,Matches
1730,Junior Messias,br BRA,"MF,FW",Genoa,it Serie A,33,1991,9.4,15.9,24.9,63.7,277.8,95.4,8.19,10.4,78.6,5.21,8.51,61.3,2.13,3.94,54.1,0.11,0.07,0.06,0.03,0.85,2.45,0.85,0.21,3.4,Matches
1731,Connor Metcalfe,au AUS,"MF,FW",St. Pauli,de Bundesliga,24,1999,4,19,29.5,64.4,297.8,111.3,10.5,13.5,77.8,7,8.75,80,1.5,5,30,0,0.05,0.05,-0.05,0.75,1.5,0.5,0.25,2,Matches
1732,Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,31,1993,10,52.6,63.1,83.4,1018.1,372.8,16.5,18.6,88.7,30.2,33,91.5,5.3,10.1,52.5,0,0.02,0.04,-0.02,0.3,4.9,0.3,0.1,5.4,Matches
1733,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,32,1991,21.4,55.5,69,80.4,954.8,298.6,24.6,27.7,89,25.4,30.7,82.8,4.44,7.85,56.5,0,0.03,0.11,-0.03,0.61,5.75,1.45,0.33,6.36,Matches
1734,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33,1991,2,27,41.5,65.1,770.5,532,3.5,3.5,100,14,14.5,96.6,9.5,23.5,40.4,0,0.05,0,-0.05,0.5,1,0,0,0,Matches
1735,Shumaira Mheuka,eng ENG,MF,Chelsea,eng Premier League,16,2007,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
1736,Lucas Michal,fr FRA,"FW,MF",Monaco,fr Ligue 1,19,2005,1.3,27.7,33.8,81.8,316.2,54.6,16.2,17.7,91.3,7.69,10,76.9,0,0.77,0,0,0.69,0.46,-0.69,0.77,0,1.54,0,3.08,Matches
1737,Florian Micheler,at AUT,MF,Hoffenheim,de Bundesliga,19,2005,0.4,27.5,30,91.7,395,112.5,15,15,100,12.5,12.5,100,0,0,,0,0,0,0,0,2.5,0,0,2.5,Matches
1738,Miguel,es ESP,FW,Leganés,es La Liga,24,1999,19.2,7.24,12.3,58.6,105.3,19.8,4.01,5.94,67.5,2.4,3.75,63.9,0.31,0.78,40,0.16,0.07,0.04,0.08,0.36,0.47,0.26,0.05,0.83,Matches
1739,Valentin Mihaila,ro ROU,"FW,MF",Parma,it Serie A,24,2000,14.3,22.7,30.1,75.4,341.2,99.5,12.7,15.2,83.4,7.2,9.09,79.2,1.68,3.5,48,0.21,0.08,0.08,0.13,1.19,1.96,1.19,0.21,2.87,Matches
1740,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,23,2000,16.1,20.2,26.5,76.5,272.2,57.5,11.9,14.3,82.7,5.84,7.58,77,0.81,1.06,76.5,0.37,0.27,0.23,0.11,1.3,1.3,0.87,0,3.35,Matches
1741,Igor Miladinović,rs SRB,"FW,MF",Saint-Étienne,fr Ligue 1,21,2003,0.3,40,50,80,663.3,90,23.3,30,77.8,13.3,13.3,100,3.33,3.33,100,0,0,0,0,0,6.67,0,0,3.33,Matches
1742,Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,26,1997,37,23,27.9,82.3,462,170.9,6.97,7.92,88.1,12.8,14.5,88.3,2.78,4.51,61.7,0.05,0.03,0.01,0.02,0.24,1.43,0.05,0,1.38,Matches
1743,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,18,2006,3.5,48,54.6,88,696.9,114.9,26.9,30,89.5,16.9,17.4,96.7,2,2.86,70,0,0,0.09,0,0.29,3.14,1.14,0,4.86,Matches
1744,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27,1997,37,29.9,44,68,899.4,630.8,4.32,4.41,98.2,15.1,15.3,98.4,10.5,24,43.7,0,0,0.01,0,0.08,1.65,0.16,0,0,Matches
1745,Éder Militão,br BRA,DF,Real Madrid,es La Liga,26,1998,10.4,61.2,68.5,89.3,1259.1,445.5,18.2,19.3,94,35.8,37.9,94.4,6.92,10.6,65.5,0.1,0.05,0.02,0.05,0.58,5.38,0.29,0,4.42,Matches
1746,Luis Milla,es ESP,MF,Getafe,es La Liga,29,1994,31.9,35.4,48.2,73.5,642.5,192.9,16,18.2,88.1,13.8,17.1,80.3,4.7,10.5,44.6,0.13,0.12,0.15,0,2.19,4.67,0.82,0.31,4.76,Matches
1747,Pere Milla,es ESP,"MF,FW",Espanyol,es La Liga,31,1992,5.1,19,32.4,58.8,334.7,89.4,8.43,12.2,69.4,7.25,10.6,68.5,2.55,5.49,46.4,0,0.06,0.06,-0.06,0.98,1.76,0.98,0,2.55,Matches
1748,Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,22,2002,20.5,47.2,55.6,84.8,666.6,161.3,29.8,32.6,91.5,14.1,16.4,86.3,2.1,3.95,53.1,0.24,0.15,0.17,0.09,1.12,4.34,1.46,0.15,5.76,Matches
1749,James Milner,eng ENG,MF,Brighton,eng Premier League,38,1986,1.9,28.9,38.9,74.3,473.2,182.6,13.7,14.7,92.9,12.1,15.8,76.7,2.11,5.79,36.4,0,0.11,0.11,-0.11,2.11,1.58,0.53,0.53,5.26,Matches
1750,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,27,1996,25.4,92.1,99.6,92.5,1537,602,41.2,43.3,95.1,45.4,47.8,95,4.53,6.46,70.1,0,0.01,0.04,-0.01,0.24,9.29,0.08,0,7.13,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1751,Yerry Mina,co COL,DF,Cagliari,it Serie A,29,1994,28.5,42,48.9,85.9,772.6,293.9,15.8,17.4,90.7,22.5,24.7,91.1,3.19,5.51,58,0,0.01,0.02,-0.01,0.14,2.21,0.21,0.04,2.67,Matches
1752,Takumi Minamino,jp JPN,"MF,FW",Monaco,fr Ligue 1,29,1995,24.8,21,29.7,70.7,296,102.6,12.7,15.8,80.1,6.61,9.03,73.2,0.81,1.94,41.7,0.12,0.27,0.19,-0.15,1.61,2.66,1.33,0,4.6,Matches
1753,Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,20,2004,7.9,39.1,48,81.5,648.6,250.6,18.9,20.6,91.4,16.2,18.5,87.7,2.53,6.46,39.2,0,0.04,0.08,-0.04,0.38,3.04,0.25,0.25,3.16,Matches
1754,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,31,1993,12.4,48.1,54.5,88.2,858.2,271.3,18.9,20.6,91.4,26,27.6,94.4,2.74,5.16,53.1,0,0.02,0.02,-0.02,0.24,3.87,0.4,0,3.23,Matches
